Round County Immigrants,Round State Immigrants,County Immigrants,County,Number of Records,Origin (B05006 2015 5 yr (County)),Origin (quickfilter 2),Origin (tooltip),Origin (quickfilter),Origin,State (B05006 2015 5 yr (County)),State Immigrants,State,Total state immigrant population,Total state population
,"167,000",861,Autauga County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"6,900","167,000",6882,Baldwin County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",737,Barbour County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",251,Bibb County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,400","167,000",2393,Blount County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",573,Bullock County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",144,Butler County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"3,000","167,000",2987,Calhoun County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",361,Chambers County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",261,Cherokee County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,300","167,000",2333,Chilton County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",21,Choctaw County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",126,Clarke County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",290,Clay County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",231,Cleburne County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,200","167,000",2158,Coffee County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1013,Colbert County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",131,Conecuh County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",197,Coosa County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",407,Covington County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",328,Crenshaw County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1996,Cullman County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1616,Dale County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",332,Dallas County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"5,400","167,000",5402,DeKalb County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1700,Elmore County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",215,Escambia County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,800","167,000",2796,Etowah County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",76,Fayette County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,800","167,000",2790,Franklin County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",730,Geneva County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",19,Greene County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",146,Hale County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",250,Henry County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,500","167,000",2472,Houston County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1200,Jackson County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"26,500","167,000",26464,Jefferson County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",117,Lamar County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1723,Lauderdale County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",227,Lawrence County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"8,300","167,000",8307,Lee County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"4,200","167,000",4188,Limestone County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",32,Lowndes County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",266,Macon County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"18,700","167,000",18687,Madison County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",224,Marengo County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",515,Marion County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"7,300","167,000",7262,Marshall County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"12,800","167,000",12799,Mobile County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",55,Monroe County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"9,800","167,000",9832,Montgomery County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"5,600","167,000",5598,Morgan County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",54,Perry County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",218,Pickens County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1064,Pike County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",407,Randolph County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1454,Russell County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"11,300","167,000",11315,Shelby County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1552,St. Clair County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",196,Sumter County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1272,Talladega County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",633,Tallapoosa County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"7,000","167,000",7038,Tuscaloosa County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",883,Walker County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",122,Washington County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",0,Wilcox County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",295,Winston County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"54,000",1491,Aleutians East Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"2,000","54,000",2012,Aleutians West Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"29,800","54,000",29803,Anchorage Municipality,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",328,Bethel Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",19,Bristol Bay Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",139,Denali Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",83,Dillingham Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"5,100","54,000",5067,Fairbanks North Star Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",181,Haines Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",114,Hoonah-Angoon Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"2,600","54,000",2552,Juneau City and Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",1597,Kenai Peninsula Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",1069,Ketchikan Gateway Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"2,400","54,000",2379,Kodiak Island Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",69,Kusilvak Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",53,Lake and Peninsula Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"3,700","54,000",3698,Matanuska-Susitna Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",169,Nome Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",626,North Slope Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",73,Northwest Arctic Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",196,Petersburg Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",101,Prince of Wales-Hyder Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",755,Sitka City and Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",97,Skagway Municipality,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",734,Southeast Fairbanks Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",427,Valdez-Cordova Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",112,Wrangell City and Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",40,Yakutat City and Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",63,Yukon-Koyukuk Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"896,000",1409,Apache County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"14,800","896,000",14801,Cochise County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"7,400","896,000",7430,Coconino County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"2,300","896,000",2305,Gila County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
,"896,000",1793,Graham County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
,"896,000",419,Greenlee County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"2,600","896,000",2587,La Paz County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"595,300","896,000",595254,Maricopa County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"14,800","896,000",14812,Mohave County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"2,900","896,000",2862,Navajo County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"129,100","896,000",129067,Pima County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"39,500","896,000",39523,Pinal County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"15,800","896,000",15817,Santa Cruz County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"14,600","896,000",14559,Yavapai County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
"53,400","896,000",53366,Yuma County,1,Total:,Total:,all countries,(Total),Total:,Arizona,896004,Arizona,896004,6641928
,"139,000",378,Arkansas County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",507,Ashley County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",980,Baxter County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"27,200","139,000",27182,Benton County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",444,Boone County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",729,Bradley County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",32,Calhoun County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"2,300","139,000",2273,Carroll County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",328,Chicot County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",624,Clark County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",201,Clay County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",357,Cleburne County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",139,Cleveland County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",778,Columbia County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",446,Conway County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"3,800","139,000",3805,Craighead County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"2,600","139,000",2592,Crawford County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",823,Crittenden County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",109,Cross County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",220,Dallas County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",339,Desha County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",308,Drew County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"3,500","139,000",3489,Faulkner County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",221,Franklin County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",188,Fulton County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"3,100","139,000",3057,Garland County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",263,Grant County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",422,Greene County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",1445,Hempstead County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",366,Hot Spring County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",770,Howard County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",1318,Independence County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",316,Izard County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",128,Jackson County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",1245,Jefferson County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",1982,Johnson County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",52,Lafayette County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",122,Lawrence County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",110,Lee County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",206,Lincoln County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",146,Little River County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",405,Logan County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",1473,Lonoke County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",512,Madison County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",233,Marion County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",390,Miller County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",825,Mississippi County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",104,Monroe County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",216,Montgomery County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",137,Nevada County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",84,Newton County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",203,Ouachita County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",86,Perry County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",157,Phillips County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",466,Pike County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",217,Poinsett County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",645,Polk County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"2,800","139,000",2775,Pope County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",26,Prairie County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"20,400","139,000",20350,Pulaski County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",103,Randolph County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"2,900","139,000",2854,Saline County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",520,Scott County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",66,Searcy County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"12,500","139,000",12524,Sebastian County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"2,900","139,000",2946,Sevier County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",114,Sharp County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",673,St. Francis County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",39,Stone County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",845,Union County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",387,Van Buren County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"24,700","139,000",24686,Washington County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",1863,White County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
,"139,000",44,Woodruff County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"2,400","139,000",2414,Yell County,1,Total:,Total:,all countries,(Total),Total:,Arkansas,138822,Arkansas,138822,2958208
"497,000","10,390,000",496999,Alameda County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
,"10,390,000",38,Alpine County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"2,000","10,390,000",2046,Amador County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"17,000","10,390,000",16961,Butte County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"2,300","10,390,000",2324,Calaveras County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"5,200","10,390,000",5245,Colusa County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"262,400","10,390,000",262426,Contra Costa County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
,"10,390,000",1630,Del Norte County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"17,200","10,390,000",17175,El Dorado County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"204,700","10,390,000",204747,Fresno County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"5,000","10,390,000",5028,Glenn County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"7,800","10,390,000",7771,Humboldt County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"58,100","10,390,000",58057,Imperial County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
,"10,390,000",1860,Inyo County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"176,100","10,390,000",176115,Kern County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"28,100","10,390,000",28097,Kings County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"5,800","10,390,000",5759,Lake County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"2,200","10,390,000",2150,Lassen County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"3,485,700","10,390,000",3485687,Los Angeles County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"33,100","10,390,000",33122,Madera County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"47,100","10,390,000",47054,Marin County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
,"10,390,000",1157,Mariposa County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"11,100","10,390,000",11136,Mendocino County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"67,300","10,390,000",67255,Merced County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
,"10,390,000",566,Modoc County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"2,400","10,390,000",2364,Mono County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"129,000","10,390,000",128986,Monterey County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"32,300","10,390,000",32278,Napa County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"6,200","10,390,000",6160,Nevada County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"950,700","10,390,000",950742,Orange County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"38,500","10,390,000",38498,Placer County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
,"10,390,000",845,Plumas County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"505,800","10,390,000",505791,Riverside County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"299,600","10,390,000",299647,Sacramento County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"11,700","10,390,000",11702,San Benito County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"445,700","10,390,000",445717,San Bernardino County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"758,500","10,390,000",758527,San Diego County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"295,400","10,390,000",295417,San Francisco County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"165,300","10,390,000",165260,San Joaquin County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"29,200","10,390,000",29171,San Luis Obispo County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"258,700","10,390,000",258709,San Mateo County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"100,300","10,390,000",100298,Santa Barbara County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"704,100","10,390,000",704081,Santa Clara County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"49,400","10,390,000",49445,Santa Cruz County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"8,800","10,390,000",8770,Shasta County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
,"10,390,000",112,Sierra County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"2,100","10,390,000",2147,Siskiyou County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"85,500","10,390,000",85493,Solano County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"82,200","10,390,000",82200,Sonoma County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"108,800","10,390,000",108796,Stanislaus County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
"21,400","10,390,000",21403,Sutter County,1,Total:,Total:,all countries,(Total),Total:,California,10389990,California,10389990,38421464
